,date,Open,High,Low,Close,Adj Close,Volume,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,AMZ_close
0,2-18-2020,3369.040039,3375.01001,3355.610107,3370.290039,3370.290039,3746720000,0,-1,6,1,0,1,2155.669922
1,2-19-2020,3380.389893,3393.5200200000004,3378.830078,3386.149902,3386.149902,3600150000,2,0,8,1,1,0,2170.219971
2,2-20-2020,3380.4499509999996,3389.149902,3341.02002,3373.2299799999996,3373.2299799999996,4007320000,1,0,4,0,0,1,2153.100098
3,2-21-2020,3360.5,3360.76001,3328.449951,3337.75,3337.75,3899270000,2,-2,4,1,0,0,2095.969971
4,2-24-2020,3257.610107,3259.810059,3214.649902,3225.889893,3225.889893,4842960000,2,1,9,1,3,0,2009.290039
5,2-25-2020,3238.939941,3246.98999,3118.77002,3128.209961,3128.209961,5591510000,4,1,9,2,2,0,1972.7399899999998
6,2-26-2020,3139.899902,3182.51001,3108.98999,3116.389893,3116.389893,5478110000,7,2,5,3,2,-1,1979.589966
7,2-27-2020,3062.540039,3097.070068,2977.389893,2978.76001,2978.76001,7058840000,8,3,12,4,2,0,1884.300049
8,2-28-2020,2916.899902,2959.719971,2855.840088,2954.219971,2954.219971,8563850000,8,3,10,5,2,-1,1883.75
9,3-2-2020,2974.280029,3090.959961,2945.189941,3090.22998,3090.22998,6376400000,7,6,10,2,3,-1,1953.949951
10,3-3-2020,3096.459961,3136.719971,2976.6298829999996,3003.3701170000004,3003.3701170000004,6355940000,11,10,20,3,2,-1,1908.9899899999998
11,3-4-2020,3045.75,3130.969971,3034.3798829999996,3130.1201170000004,3130.1201170000004,5035480000,8,6,17,2,3,-1,1975.8299559999998
12,3-5-2020,3075.699951,3083.040039,2999.830078,3023.939941,3023.939941,5575550000,8,7,21,2,3,-1,1924.030029
13,3-6-2020,2954.199951,2985.929932,2901.540039,2972.3701170000004,2972.3701170000004,6552140000,5,3,12,2,2,-1,1901.089966
14,3-9-2020,2863.889893,2863.889893,2734.429932,2746.560059,2746.560059,8423050000,6,6,31,-1,0,0,1800.609985
15,3-10-2020,2813.47998,2882.590088,2734.0,2882.22998,2882.22998,7635960000,6,7,18,-3,-2,1,1891.819946
16,3-11-2020,2825.600098,2825.600098,2707.219971,2741.3798829999996,2741.3798829999996,7374110000,8,10,26,-2,-1,0,1820.859985
17,3-12-2020,2630.860107,2660.949951,2478.860107,2480.639893,2480.639893,8829380000,6,23,19,-6,-3,1,1676.609985
18,3-13-2020,2569.98999,2711.330078,2492.3701170000004,2711.02002,2711.02002,8258670000,-6,18,3,-10,-1,3,1785.0
19,3-16-2020,2508.590088,2562.97998,2380.939941,2386.1298829999996,2386.1298829999996,7781540000,-8,21,-1,-22,-20,8,1689.1500239999998
20,3-17-2020,2425.659912,2553.929932,2367.040039,2529.189941,2529.189941,8358500000,-18,14,8,-26,-27,11,1807.839966
21,3-18-2020,2436.5,2453.570068,2280.52002,2398.100098,2398.100098,8755780000,-24,8,6,-30,-31,13,1830.0
22,3-19-2020,2393.47998,2466.969971,2319.780029,2409.389893,2409.389893,7946710000,-28,7,2,-36,-33,15,1880.930054
23,3-20-2020,2431.939941,2453.01001,2295.560059,2304.919922,2304.919922,9044690000,-32,5,-2,-37,-36,16,1846.089966
24,3-23-2020,2290.709961,2300.72998,2191.860107,2237.399902,2237.399902,7402180000,-38,-10,-23,-47,-41,17,1902.8299559999998
25,3-24-2020,2344.439941,2449.709961,2344.439941,2447.330078,2447.330078,7547350000,-39,-12,-10,-46,-45,19,1940.0999760000002
26,3-25-2020,2457.77002,2571.419922,2407.530029,2475.560059,2475.560059,8285670000,-40,-15,-7,-47,-46,19,1885.839966
27,3-26-2020,2501.290039,2637.01001,2500.719971,2630.070068,2630.070068,7753160000,-40,-14,3,-48,-47,20,1955.4899899999998
28,3-27-2020,2555.8701170000004,2615.909912,2520.02002,2541.469971,2541.469971,6194330000,-42,-16,-7,-49,-46,21,1900.0999760000002
29,3-30-2020,2558.97998,2631.800049,2545.280029,2626.649902,2626.649902,5746220000,-40,-18,-15,-50,-48,19,1963.949951
30,3-31-2020,2614.689941,2641.389893,2571.149902,2584.590088,2584.590088,6568290000,-40,-16,-16,-49,-49,20,1949.719971
31,4-1-2020,2498.080078,2522.75,2447.48999,2470.5,2470.5,5947900000,-37,-11,-7,-48,-49,20,1907.699951
32,4-2-2020,2458.540039,2533.219971,2455.790039,2526.899902,2526.899902,6454990000,-40,-11,-9,-51,-50,21,1918.8299559999998
33,4-3-2020,2514.919922,2538.179932,2459.959961,2488.649902,2488.649902,6087190000,-42,-12,-21,-51,-50,22,1906.589966
34,4-6-2020,2578.280029,2676.850098,2574.570068,2663.679932,2663.679932,6391860000,-42,-16,-10,-52,-50,20,1997.589966
35,4-7-2020,2738.649902,2756.889893,2657.669922,2659.409912,2659.409912,7040720000,-42,-14,-2,-51,-51,21,2011.5999760000002
36,4-8-2020,2685.0,2760.75,2663.300049,2749.97998,2749.97998,5856370000,-42,-15,-6,-51,-51,21,2043.0
37,4-9-2020,2776.98999,2818.570068,2762.360107,2789.820068,2789.820068,7880140000,-43,-13,-21,-54,-52,22,2042.7600100000002
38,4-13-2020,2782.459961,2782.459961,2721.169922,2761.6298829999996,2761.6298829999996,5274310000,-45,-22,-31,-55,-51,21,2168.8701170000004
39,4-14-2020,2805.100098,2851.850098,2805.100098,2846.060059,2846.060059,5567400000,-40,-16,-15,-50,-50,20,2283.320068
40,4-15-2020,2795.639893,2801.8798829999996,2761.540039,2783.360107,2783.360107,5203390000,-36,-13,-16,-49,-49,20,2307.679932
41,4-16-2020,2799.340088,2806.51001,2764.320068,2799.550049,2799.550049,5179990000,-39,-13,-14,-50,-49,21,2408.189941
42,4-17-2020,2842.429932,2879.219971,2830.8798829999996,2874.560059,2874.560059,5792140000,-42,-17,-22,-51,-48,22,2375.0
43,4-20-2020,2845.6201170000004,2868.97998,2820.429932,2823.159912,2823.159912,5220160000,-39,-16,-7,-49,-48,19,2393.610107
44,4-21-2020,2784.810059,2785.540039,2727.100098,2736.560059,2736.560059,5075830000,-38,-14,-8,-49,-49,20,2328.1201170000004
45,4-22-2020,2787.889893,2815.100098,2775.949951,2799.310059,2799.310059,5049660000,-38,-14,-9,-48,-49,20,2363.48999
46,4-23-2020,2810.419922,2844.899902,2794.26001,2797.800049,2797.800049,5756520000,-40,-14,-14,-50,-49,21,2399.449951
47,4-24-2020,2812.639893,2842.709961,2791.76001,2836.73999,2836.73999,5374480000,-40,-16,-14,-50,-48,21,2410.219971
48,4-27-2020,2854.649902,2887.719971,2852.889893,2878.47998,2878.47998,5194260000,-35,-13,-4,-48,-46,18,2376.0
49,4-28-2020,2909.959961,2921.149902,2860.709961,2863.389893,2863.389893,5672880000,-34,-10,6,-45,-48,12,2314.080078
50,4-29-2020,2918.459961,2954.860107,2912.159912,2939.51001,2939.51001,6620140000,-34,-11,-7,-46,-47,19,2372.709961
51,4-30-2020,2930.909912,2930.909912,2892.469971,2912.429932,2912.429932,6523120000,-34,-9,-7,-47,-47,19,2474.0
52,5-1-2020,2869.090088,2869.090088,2821.610107,2830.709961,2830.709961,4753160000,-32,-7,7,-43,-45,18,2286.040039
53,5-4-2020,2815.01001,2844.23999,2797.850098,2842.73999,2842.73999,4723140000,-29,-7,5,-44,-44,16,2315.98999
54,5-5-2020,2868.8798829999996,2898.22998,2863.550049,2868.439941,2868.439941,5129590000,-28,-3,5,-43,-45,17,2317.800049
55,5-6-2020,2883.139893,2891.110107,2847.649902,2848.419922,2848.419922,4861920000,-29,-6,6,-43,-44,17,2351.26001
56,5-7-2020,2878.26001,2901.919922,2876.47998,2881.189941,2881.189941,5164640000,-29,-3,21,-42,-44,17,2367.610107
57,5-8-2020,2908.830078,2932.159912,2902.8798829999996,2929.800049,2929.800049,4857160000,-32,-5,-2,-43,-43,18,2379.610107
58,5-11-2020,2915.459961,2944.25,2903.439941,2930.189941,2930.189941,4807320000,-31,-11,-3,-44,-42,16,2409.0
59,5-12-2020,2939.5,2945.820068,2869.590088,2870.1201170000004,2870.1201170000004,5107710000,-28,-6,10,-41,-43,16,2356.949951
60,5-13-2020,2865.860107,2874.139893,2793.149902,2820.0,2820.0,6143130000,-26,-5,18,-40,-42,16,2367.919922
61,5-14-2020,2794.540039,2852.800049,2766.639893,2852.5,2852.5,5641920000,-28,-5,17,-42,-43,17,2388.850098
62,5-15-2020,2829.949951,2865.01001,2816.780029,2863.699951,2863.699951,5477040000,-29,-7,21,-40,-42,16,2409.780029
63,5-18-2020,2913.860107,2968.090088,2913.860107,2953.909912,2953.909912,6364290000,-26,-8,2,-43,-40,15,2426.26001
64,5-19-2020,2948.590088,2964.209961,2922.350098,2922.939941,2922.939941,4969330000,-24,-4,15,-40,-41,15,2449.330078
65,5-20-2020,2953.6298829999996,2980.290039,2953.6298829999996,2971.610107,2971.610107,4992970000,-22,-3,23,-38,-41,15,2497.939941
66,5-21-2020,2969.949951,2978.5,2938.570068,2948.51001,2948.51001,4966940000,-22,-1,31,-37,-41,15,2446.73999
67,5-22-2020,2948.050049,2956.76001,2933.590088,2955.449951,2955.449951,3952800000,-24,-2,31,-36,-41,15,2436.8798829999996
68,5-26-2020,3004.080078,3021.719971,2988.169922,2991.77002,2991.77002,5837060000,-22,-3,28,-37,-39,14,2421.860107
69,5-27-2020,3015.649902,3036.25,2969.75,3036.1298829999996,3036.1298829999996,6371230000,-21,-4,32,-37,-38,14,2410.389893
70,5-28-2020,3046.610107,3068.669922,3023.399902,3029.72998,3029.72998,5402670000,-21,-2,26,-37,-38,14,2401.100098
71,5-29-2020,3025.169922,3049.169922,2998.610107,3044.310059,3044.310059,7275080000,-23,-5,29,-36,-37,14,2442.3701170000004
72,6-1-2020,3038.780029,3062.179932,3031.540039,3055.72998,3055.72998,4673410000,-18,-2,28,-36,-37,12,2471.040039
73,6-2-2020,3064.780029,3081.070068,3051.639893,3080.820068,3080.820068,5187230000,-18,0,35,-36,-37,13,2472.409912
74,6-3-2020,3098.899902,3130.939941,3098.899902,3122.8701170000004,3122.8701170000004,5989560000,-16,1,33,-35,-37,13,2478.399902
75,6-4-2020,3111.560059,3128.909912,3090.409912,3112.350098,3112.350098,6428130000,-18,1,40,-35,-37,13,2460.600098
76,6-5-2020,3163.840088,3211.719971,3163.840088,3193.929932,3193.929932,8617590000,-20,-2,34,-34,-36,13,2483.0
77,6-8-2020,3199.919922,3233.1298829999996,3196.0,3232.389893,3232.389893,8437380000,-16,-2,39,-34,-36,11,2524.060059
78,6-9-2020,3213.320068,3222.709961,3193.110107,3207.179932,3207.179932,6382620000,-16,-1,36,-34,-36,12,2600.860107
79,6-10-2020,3213.419922,3223.27002,3181.48999,3190.139893,3190.139893,6570840000,-14,-1,40,-33,-36,12,2647.449951
80,6-11-2020,3123.530029,3123.530029,2999.48999,3002.100098,3002.100098,7018890000,-15,0,49,-33,-36,12,2557.959961
81,6-12-2020,3071.040039,3088.419922,2984.469971,3041.310059,3041.310059,5832250000,-17,-1,57,-30,-35,11,2545.02002
82,6-15-2020,2993.76001,3079.76001,2965.659912,3066.590088,3066.590088,5740660000,-14,-2,45,-32,-35,11,2572.679932
83,6-16-2020,3131.0,3153.449951,3076.060059,3124.73999,3124.73999,5829240000,-13,1,57,-31,-36,11,2615.27002
84,6-17-2020,3136.1298829999996,3141.159912,3108.030029,3113.48999,3113.48999,4549390000,-12,0,58,-31,-36,11,2640.97998
85,6-18-2020,3101.639893,3120.0,3093.51001,3115.340088,3115.340088,4429030000,-13,1,59,-31,-36,11,2653.97998
86,6-19-2020,3140.290039,3155.530029,3083.110107,3097.73999,3097.73999,8327780000,-15,0,60,-28,-36,9,2675.01001
87,6-22-2020,3094.419922,3120.919922,3079.389893,3117.860107,3117.860107,4665380000,-16,-5,43,-32,-38,11,2713.820068
88,6-23-2020,3138.699951,3154.899902,3127.1201170000004,3131.290039,3131.290039,4704830000,-13,0,54,-30,-38,11,2764.409912
89,6-24-2020,3114.399902,3115.01001,3032.1298829999996,3050.330078,3050.330078,5587200000,-12,-1,57,-30,-36,11,2734.399902
90,6-25-2020,3046.600098,3086.25,3024.01001,3083.76001,3083.76001,4815420000,-13,1,64,-29,-36,11,2754.580078
91,6-26-2020,3073.199951,3073.72998,3004.6298829999996,3009.050049,3009.050049,8098120000,-17,-3,57,-28,-36,11,2692.8701170000004
92,6-29-2020,3018.590088,3053.889893,2999.73999,3053.23999,3053.23999,4462770000,-13,-3,46,-31,-36,10,2680.3798829999996
93,6-30-2020,3050.199951,3111.51001,3047.830078,3100.290039,3100.290039,4696280000,-10,1,50,-30,-37,11,2758.820068
94,7-1-2020,3105.919922,3128.439941,3101.169922,3115.860107,3115.860107,4443130000,-7,4,54,-27,-37,10,2878.699951
95,7-2-2020,3143.639893,3165.810059,3124.52002,3130.01001,3130.01001,4190830000,-4,11,77,-24,-39,10,2890.300049
96,7-6-2020,3155.290039,3182.590088,3155.290039,3179.719971,3179.719971,4736450000,-13,-2,48,-30,-41,11,3057.040039
97,7-7-2020,3166.439941,3184.149902,3142.929932,3145.320068,3145.320068,4563700000,-13,0,51,-29,-39,11,3000.1201170000004
98,7-8-2020,3153.070068,3171.800049,3136.530029,3169.939941,3169.939941,4927700000,-12,-1,52,-30,-37,11,3081.110107
99,7-9-2020,3176.169922,3179.780029,3115.699951,3152.050049,3152.050049,4829020000,-13,1,59,-30,-38,11,3182.6298829999996
100,7-10-2020,3152.469971,3186.820068,3136.219971,3185.040039,3185.040039,4515340000,-18,-4,43,-31,-37,11,3200.0
101,7-13-2020,3205.080078,3235.320068,3149.429932,3155.219971,3155.219971,4890780000,-13,-2,53,-31,-38,10,3104.0
102,7-14-2020,3141.110107,3200.949951,3127.659912,3197.52002,3197.52002,4476170000,-12,0,59,-31,-38,11,3084.0
103,7-15-2020,3225.97998,3238.280029,3200.76001,3226.560059,3226.560059,4669760000,-12,-1,56,-31,-37,11,3008.8701170000004
104,7-16-2020,3208.360107,3220.389893,3198.590088,3215.570068,3215.570068,3961230000,-13,0,62,-31,-37,11,2999.899902
105,7-17-2020,3224.209961,3233.52002,3205.649902,3224.72998,3224.72998,3993830000,-17,-3,54,-29,-37,11,2961.969971
106,7-20-2020,3224.290039,3258.610107,3215.159912,3251.840088,3251.840088,3971200000,-14,-4,51,-32,-38,10,3196.840088
107,7-21-2020,3268.52002,3277.290039,3247.77002,3257.300049,3257.300049,4547960000,-13,-2,54,-32,-38,11,3138.290039
108,7-22-2020,3254.860107,3279.320068,3253.100098,3276.02002,3276.02002,4255190000,-13,-3,47,-32,-37,11,3099.909912
109,7-23-2020,3271.639893,3279.98999,3222.659912,3235.659912,3235.659912,4290460000,-14,-2,55,-31,-37,11,2986.550049
110,7-24-2020,3218.580078,3227.26001,3200.050049,3215.6298829999996,3215.6298829999996,3894900000,-17,-4,55,-30,-37,11,3008.909912
111,7-27-2020,3219.840088,3241.429932,3214.25,3239.409912,3239.409912,3963910000,-14,-4,48,-32,-38,10,3055.209961
112,7-28-2020,3234.27002,3243.719971,3216.169922,3218.439941,3218.439941,4027890000,-14,-3,53,-32,-38,11,3000.330078
113,7-29-2020,3227.219971,3264.73999,3227.219971,3258.439941,3258.439941,4676300000,-13,-3,56,-31,-38,10,3033.530029
114,7-30-2020,3231.76001,3250.919922,3204.1298829999996,3246.219971,3246.219971,4254010000,-13,-2,56,-31,-38,11,3051.8798829999996
115,7-31-2020,3270.449951,3272.169922,3220.26001,3271.1201170000004,3271.1201170000004,5117260000,-14,-2,56,-28,-37,10,3164.679932
116,8-3-2020,3288.26001,3302.72998,3284.530029,3294.610107,3294.610107,4643640000,-12,-1,47,-31,-38,10,3111.889893
117,8-4-2020,3289.919922,3306.840088,3286.3701170000004,3306.51001,3306.51001,4621670000,-13,-3,48,-33,-39,11,3138.830078
118,8-5-2020,3317.3701170000004,3330.77002,3317.3701170000004,3327.77002,3327.77002,4732220000,-11,-2,61,-30,-37,10,3205.030029
119,8-6-2020,3323.169922,3351.030029,3318.139893,3349.159912,3349.159912,4267490000,-13,-2,62,-30,-37,10,3225.0
120,8-7-2020,3340.050049,3352.540039,3328.719971,3351.280029,3351.280029,4104860000,-15,-5,57,-29,-37,10,3167.459961
121,8-10-2020,3356.040039,3363.290039,3335.439941,3360.469971,3360.469971,4318570000,-14,-5,47,-32,-38,9,3148.159912
122,8-11-2020,3370.3400880000004,3381.01001,3326.439941,3333.689941,3333.689941,5087650000,-13,-3,57,-31,-38,10,3080.669922
123,8-12-2020,3355.459961,3387.889893,3355.459961,3380.350098,3380.350098,3768560000,-13,-4,51,-32,-37,10,3162.23999
124,8-13-2020,3372.9499509999996,3387.23999,3363.350098,3373.429932,3373.429932,3648810000,-14,-3,53,-31,-37,10,3161.02002
125,8-14-2020,3368.6599119999996,3378.51001,3361.639893,3372.850098,3372.850098,3193400000,-16,-5,53,-29,-37,10,3148.02002
126,8-17-2020,3380.860107,3387.5900880000004,3379.219971,3381.98999,3381.98999,3671290000,-15,-6,42,-32,-38,9,3182.409912
127,8-18-2020,3387.040039,3395.0600590000004,3370.149902,3389.780029,3389.780029,3881310000,-14,-4,50,-32,-36,10,3312.48999
128,8-19-2020,3392.51001,3399.540039,3369.6599119999996,3374.850098,3374.850098,3884480000,-14,-5,44,-32,-36,10,3260.47998
129,8-20-2020,3360.4799799999996,3390.8000490000004,3354.689941,3385.51001,3385.51001,3642850000,-14,-4,53,-31,-36,10,3297.3701170000004
130,8-21-2020,3386.01001,3399.959961,3379.3100590000004,3397.1599119999996,3397.1599119999996,3705420000,-16,-6,48,-29,-36,9,3284.719971
131,8-24-2020,3418.0900880000004,3432.0900880000004,3413.1298829999996,3431.280029,3431.280029,3728690000,-16,-7,32,-33,-36,10,3307.459961
132,8-25-2020,3435.9499509999996,3444.209961,3425.8400880000004,3443.6201170000004,3443.6201170000004,3619300000,-15,-4,37,-33,-37,10,3346.48999
133,8-26-2020,3449.969971,3481.070068,3444.149902,3478.7299799999996,3478.7299799999996,3754360000,-14,-5,42,-32,-35,10,3441.850098
134,8-27-2020,3485.139893,3501.3798829999996,3468.350098,3484.5500490000004,3484.5500490000004,3929560000,-16,-6,41,-32,-36,10,3400.0
135,8-28-2020,3494.6899409999996,3509.2299799999996,3484.320068,3508.01001,3508.01001,3855880000,-17,-8,37,-30,-35,9,3401.8000490000004
136,8-31-2020,3509.7299799999996,3514.7700200000004,3493.25,3500.3100590000004,3500.3100590000004,4342290000,-15,-7,30,-32,-35,9,3450.959961
137,9-1-2020,3507.4399409999996,3528.030029,3494.600098,3526.649902,3526.649902,4083110000,-12,-2,36,-31,-36,9,3499.1201170000004
138,9-2-2020,3543.76001,3588.110107,3535.2299799999996,3580.8400880000004,3580.8400880000004,4285190000,-13,-5,35,-32,-35,9,3531.4499509999996
139,9-3-2020,3564.73999,3564.850098,3427.4099119999996,3455.0600590000004,3455.0600590000004,4898680000,-11,-1,45,-28,-35,8,3368.0
140,9-4-2020,3453.600098,3479.149902,3349.6298829999996,3426.959961,3426.959961,4431440000,-13,-2,55,-25,-36,8,3294.6201170000004
141,9-8-2020,3371.8798829999996,3379.969971,3329.27002,3331.840088,3331.840088,4665600000,-16,-5,24,-31,-37,9,3149.840088
142,9-9-2020,3369.820068,3424.7700200000004,3366.8400880000004,3398.959961,3398.959961,3920830000,-16,-7,24,-32,-35,9,3268.610107
143,9-10-2020,3412.5600590000004,3425.5500490000004,3329.25,3339.189941,3339.189941,4192250000,-16,-6,27,-32,-35,9,3175.110107
144,9-11-2020,3352.699951,3368.9499509999996,3310.469971,3340.969971,3340.969971,3704450000,-17,-8,35,-30,-33,8,3116.219971
145,9-14-2020,3363.5600590000004,3402.929932,3363.5600590000004,3383.540039,3383.540039,3832130000,-16,-7,30,-33,-32,8,3102.969971
146,9-15-2020,3407.7299799999996,3419.4799799999996,3389.25,3401.1999509999996,3401.1999509999996,4051460000,-14,-5,36,-32,-33,9,3156.1298829999996
147,9-16-2020,3411.2299799999996,3428.919922,3384.4499509999996,3385.48999,3385.48999,4710030000,-15,-8,36,-32,-33,9,3078.100098
148,9-17-2020,3346.860107,3375.169922,3328.820068,3357.01001,3357.01001,4371940000,-16,-7,34,-32,-33,9,3008.72998
149,9-18-2020,3357.3798829999996,3362.2700200000004,3292.399902,3319.469971,3319.469971,7068700000,-15,-7,35,-30,-32,8,2954.909912
150,9-21-2020,3285.570068,3285.570068,3229.100098,3281.060059,3281.060059,4828350000,-16,-8,25,-33,-33,9,2960.469971
151,9-22-2020,3295.75,3320.310059,3270.949951,3315.570068,3315.570068,3963300000,-15,-6,28,-34,-33,9,3128.98999
152,9-23-2020,3320.110107,3323.350098,3232.570068,3236.919922,3236.919922,4364500000,-15,-7,27,-33,-32,9,2999.860107
153,9-24-2020,3226.139893,3278.699951,3209.449951,3246.590088,3246.590088,4599470000,-16,-7,25,-33,-32,9,3019.790039
154,9-25-2020,3236.659912,3306.8798829999996,3228.439941,3298.459961,3298.459961,3792220000,-16,-8,25,-31,-31,8,3095.1298829999996
155,9-28-2020,3333.899902,3360.73999,3332.909912,3351.600098,3351.600098,3946060000,-17,-8,12,-35,-32,9,3174.050049
156,9-29-2020,3350.919922,3357.919922,3327.540039,3335.469971,3335.469971,3651880000,-16,-7,11,-35,-32,9,3144.8798829999996
157,9-30-2020,3341.209961,3393.5600590000004,3340.469971,3363.0,3363.0,4722530000,-14,-5,17,-33,-32,8,3148.72998
158,10-1-2020,3385.8701170000004,3397.179932,3361.389893,3380.8000490000004,3380.8000490000004,4070530000,-13,-2,21,-31,-30,8,3221.26001
159,10-2-2020,3338.939941,3369.100098,3323.689941,3348.419922,3348.419922,3961550000,-14,-5,18,-29,-30,8,3125.0
160,10-5-2020,3367.2700200000004,3409.570068,3367.2700200000004,3408.600098,3408.600098,3686920000,-15,-5,15,-32,-32,8,3199.199951
161,10-6-2020,3408.73999,3431.5600590000004,3354.540039,3360.969971,3360.969971,4443380000,-15,-4,25,-32,-32,8,3099.959961
162,10-7-2020,3384.5600590000004,3426.26001,3384.5600590000004,3419.4399409999996,3419.4399409999996,3807830000,-15,-6,24,-33,-31,8,3195.689941
163,10-8-2020,3434.280029,3447.280029,3428.149902,3446.830078,3446.830078,3856190000,-15,-5,29,-31,-31,9,3190.550049
164,10-9-2020,3459.669922,3482.3400880000004,3458.070068,3477.139893,3477.139893,3939060000,-16,-7,30,-29,-31,8,3286.649902
165,10-12-2020,3500.0200200000004,3549.850098,3499.610107,3534.219971,3534.219971,3428970000,-17,-9,9,-36,-37,10,3442.929932
166,10-13-2020,3534.01001,3534.01001,3500.860107,3511.929932,3511.929932,3605150000,-17,-6,18,-33,-32,9,3443.6298829999996
167,10-14-2020,3515.469971,3527.9399409999996,3480.5500490000004,3488.669922,3488.669922,3840630000,-14,-6,25,-31,-30,9,3363.709961
168,10-15-2020,3453.719971,3489.080078,3440.889893,3483.3400880000004,3483.3400880000004,3717640000,-15,-5,23,-30,-31,9,3338.649902
169,10-16-2020,3493.5,3515.76001,3480.4499509999996,3483.8100590000004,3483.8100590000004,4675890000,-17,-8,8,-30,-31,9,3272.709961
170,10-19-2020,3493.6599119999996,3502.419922,3419.929932,3426.919922,3426.919922,4086200000,-18,-9,4,-33,-31,9,3207.209961
171,10-20-2020,3439.3798829999996,3476.929932,3435.649902,3443.1201170000004,3443.1201170000004,3901260000,-17,-7,10,-32,-31,9,3217.01001
172,10-21-2020,3439.9099119999996,3464.860107,3433.0600590000004,3435.5600590000004,3435.5600590000004,4097750000,-16,-7,13,-32,-30,9,3184.939941
173,10-22-2020,3438.5,3460.530029,3415.3400880000004,3453.48999,3453.48999,4163630000,-16,-6,20,-31,-30,9,3176.399902
174,10-23-2020,3464.899902,3466.459961,3440.4499509999996,3465.389893,3465.389893,3646570000,-17,-8,10,-30,-30,9,3204.399902
175,10-26-2020,3441.419922,3441.419922,3364.860107,3400.969971,3400.969971,3988080000,-19,-9,-9,-34,-31,10,3207.040039
176,10-27-2020,3403.149902,3409.51001,3388.709961,3390.679932,3390.679932,3946990000,-17,-7,1,-33,-31,10,3286.330078
177,10-28-2020,3342.47998,3342.47998,3268.889893,3271.030029,3271.030029,5129860000,-16,-7,-2,-34,-30,10,3162.780029
178,10-29-2020,3277.169922,3341.050049,3259.820068,3310.110107,3310.110107,4903070000,-17,-7,-6,-35,-31,10,3211.01001
179,10-30-2020,3293.590088,3304.929932,3233.939941,3269.959961,3269.959961,4840450000,-14,-4,1,-32,-30,8,3036.149902
180,11-2-2020,3296.199951,3330.139893,3279.73999,3310.23999,3310.23999,4310590000,-17,-7,-6,-35,-31,9,3004.47998
181,11-3-2020,3336.25,3389.48999,3336.25,3369.1599119999996,3369.1599119999996,4220070000,-11,-2,14,-34,-33,9,3048.409912
182,11-4-2020,3406.459961,3486.25,3405.169922,3443.4399409999996,3443.4399409999996,4783040000,-18,-10,4,-36,-30,10,3241.159912
183,11-5-2020,3485.73999,3529.0500490000004,3485.73999,3510.4499509999996,3510.4499509999996,4841190000,-18,-8,7,-34,-30,10,3322.0
184,11-6-2020,3508.3400880000004,3521.580078,3484.3400880000004,3509.4399409999996,3509.4399409999996,4833950000,-18,-10,6,-33,-29,9,3311.3701170000004
185,11-9-2020,3583.040039,3645.98999,3547.4799799999996,3550.5,3550.5,8556610000,-19,-9,-3,-36,-31,10,3143.73999
186,11-10-2020,3543.26001,3557.219971,3511.9099119999996,3545.530029,3545.530029,6024230000,-18,-7,-2,-35,-31,10,3035.02002
187,11-11-2020,3563.219971,3581.1599119999996,3557.0,3572.6599119999996,3572.6599119999996,4609970000,-15,-8,-10,-39,-38,12,3137.389893
188,11-12-2020,3562.669922,3569.0200200000004,3518.580078,3537.01001,3537.01001,4890120000,-20,-9,-12,-37,-32,11,3110.280029
189,11-13-2020,3552.570068,3593.6599119999996,3552.570068,3585.149902,3585.149902,4709670000,-19,-9,-11,-35,-30,11,3128.810059
190,11-16-2020,3600.1599119999996,3628.51001,3600.1599119999996,3626.9099119999996,3626.9099119999996,5281980000,-20,-8,-10,-37,-31,10,3131.060059
191,11-17-2020,3610.3100590000004,3623.110107,3588.679932,3609.530029,3609.530029,4799570000,-20,-7,-12,-37,-32,11,3135.659912
192,11-18-2020,3612.0900880000004,3619.0900880000004,3567.330078,3567.790039,3567.790039,5274450000,-19,-7,-13,-37,-32,11,3105.459961
193,11-19-2020,3559.4099119999996,3585.219971,3543.8400880000004,3581.8701170000004,3581.8701170000004,4347200000,-19,-6,-6,-36,-31,11,3117.02002
194,11-20-2020,3579.3100590000004,3581.2299799999996,3556.850098,3557.540039,3557.540039,4218970000,-20,-8,-5,-33,-30,11,3099.399902
195,11-23-2020,3566.820068,3589.8100590000004,3552.7700200000004,3577.5900880000004,3577.5900880000004,5036290000,-16,-2,-12,-37,-35,11,3098.389893
196,11-24-2020,3594.5200200000004,3642.3100590000004,3594.5200200000004,3635.4099119999996,3635.4099119999996,6267570000,-12,6,-9,-33,-36,11,3118.060059
197,11-25-2020,3635.5,3635.5,3617.76001,3629.649902,3629.649902,4902560000,-3,23,-7,-30,-40,10,3185.070068
198,11-27-2020,3638.5500490000004,3644.3100590000004,3629.330078,3638.350098,3638.350098,2778450000,-26,-20,2,-47,-60,19,3195.340088
199,11-30-2020,3634.179932,3634.179932,3594.389893,3621.6298829999996,3621.6298829999996,6291400000,-21,-12,-27,-39,-34,12,3168.040039
200,12-1-2020,3645.8701170000004,3678.4499509999996,3645.8701170000004,3662.4499509999996,3662.4499509999996,5403660000,-18,-5,-18,-36,-33,11,3220.080078
201,12-2-2020,3653.780029,3670.959961,3644.8400880000004,3669.01001,3669.01001,5029620000,-19,-8,-16,-38,-32,11,3203.530029
